value;count
0;3581
1;0
2;233
3;217
4;236
5;241
6;252
7;203
8;231
9;214
10;171
11;193
12;156
13;151
14;110
15;148
16;163
17;150
18;171
19;141
20;162
21;158
22;143
23;147
24;156
25;134
26;106
27;98
28;103
29;91
30;86
31;80
32;81
33;74
34;112
35;111
36;127
37;170
38;214
39;322
40;383
41;603
42;528
43;625
44;681
45;622
46;693
47;708
48;754
49;660
50;905
51;974
52;1198
53;1352
54;1407
55;1464
56;1137
57;1123
58;1033
59;629
60;484
61;403
62;338
63;197
64;178
65;125
66;121
67;96
68;90
69;95
70;91
71;73
72;75
73;80
74;65
75;72
76;76
77;75
78;70
79;66
80;66
81;53
82;40
83;38
84;43
85;40
86;56
87;55
88;37
89;57
90;36
91;36
92;27
93;28
94;23
95;26
96;36
97;28
98;25
99;18
100;22
101;17
102;13
103;21
104;16
105;15
106;15
107;17
108;13
109;15
110;17
111;19
112;11
113;13
114;11
115;15
116;7
117;9
118;20
119;20
120;16
121;17
122;24
123;19
124;12
125;18
126;17
127;16
128;23
129;14
130;15
131;15
132;13
133;11
134;11
135;17
136;12
137;8
138;17
139;5
140;8
141;8
142;12
143;5
144;9
145;4
146;4
147;4
148;5
149;5
150;0
151;5
152;3
153;2
154;2
155;2
156;0
157;2
158;1
159;2
160;1
161;1
162;1
163;2
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0
250;0
251;0
252;0
253;0
254;0
255;0
